DataNum	Sensor0	Sensor1	Sensor2 AvgTemp



0.1	24.3066	24.4646	24.4080	24.393

0.2	24.3249	24.4787	24.4236	24.409

0.3	24.2717	24.4377	24.3781	24.3625

0.4	24.3154	24.4714	24.4155	24.4007

0.5	24.2895	24.4514	24.3933	24.378

0.6	24.2924	24.4536	24.3958	24.3806

0.7	24.3322	24.4844	24.4298	24.4154

0.8	24.2988	24.4586	24.4013	24.3862

0.9	24.4002	24.5369	24.4879	24.475

1	24.3273	24.4806	24.4256	24.4111

1.1	24.3326	24.4847	24.4302	24.4158

1.2	24.3594	24.5054	24.4531	24.4393

1.3	24.3343	24.4860	24.4316	24.4173

1.4	24.3454	24.4945	24.4410	24.4269

1.5	24.3380	24.4889	24.4348	24.4205

1.6	24.3172	24.4728	24.4170	24.4023

1.7	24.3679	24.5120	24.4603	24.4467

1.8	24.3373	24.4884	24.4342	24.4199

1.9	24.3270	24.4804	24.4254	24.4109

2	24.3560	24.5028	24.4501	24.4363

2.1	24.3656	24.5102	24.4584	24.4447

2.2	24.3333	24.4852	24.4307	24.4164

2.3	24.3481	24.4966	24.4434	24.4293

2.4	24.3307	24.4832	24.4285	24.4141

2.5	24.3286	24.4816	24.4267	24.4123

2.6	24.3756	24.5179	24.4669	24.4534

2.7	24.2778	24.4424	24.3833	24.3678

2.8	24.3133	24.4698	24.4137	24.3989

2.9	24.3705	24.5140	24.4626	24.449

3	24.3088	24.4663	24.4098	24.3949

3.1	24.3548	24.5019	24.4491	24.4352

3.2	24.3192	24.4743	24.4187	24.404

3.3	24.3433	24.4930	24.4393	24.4252

3.4	24.3538	24.5011	24.4483	24.4344

3.5	24.3402	24.4906	24.4367	24.4225

3.6	24.3631	24.5083	24.4562	24.4425

3.7	24.3315	24.4839	24.4293	24.4149

3.8	24.3677	24.5118	24.4601	24.4465

3.9	24.3497	24.4979	24.4448	24.4308

4	24.3684	24.5124	24.4608	24.4472

4.1	24.3548	24.5019	24.4491	24.4352

4.2	24.3469	24.4957	24.4424	24.4283

4.3	24.3779	24.5197	24.4688	24.4554

4.4	24.3535	24.5008	24.4480	24.4341

4.5	24.3861	24.5260	24.4758	24.4626

4.6	24.4050	24.5406	24.4920	24.4792

4.7	24.3649	24.5096	24.4577	24.444

4.8	24.4026	24.5388	24.4899	24.4771

4.9	24.3824	24.5232	24.4727	24.4594

5	24.3909	24.5298	24.4800	24.4669

5.1	24.3974	24.5347	24.4855	24.4725

5.2	24.4474	24.5734	24.5282	24.5163

5.3	24.4308	24.5606	24.5140	24.5018

5.4	24.4539	24.5784	24.5338	24.522

5.5	24.3735	24.5163	24.4651	24.4516

5.6	24.4464	24.5726	24.5273	24.5154

5.7	24.4540	24.5785	24.5338	24.5221

5.8	24.4452	24.5717	24.5263	24.5144

5.9	24.4166	24.5496	24.5019	24.4893

5.99999999999999	24.4297	24.5597	24.5131	24.5008

6.09999999999999	24.4837	24.6014	24.5592	24.5481

6.19999999999999	24.4637	24.5859	24.5421	24.5305

6.29999999999999	24.4454	24.5718	24.5265	24.5145

6.39999999999999	24.5131	24.6241	24.5843	24.5738

6.49999999999999	24.4697	24.5906	24.5473	24.5358

6.59999999999999	24.4834	24.6011	24.5589	24.5478

6.69999999999999	24.4930	24.6086	24.5672	24.5562

6.79999999999999	24.4958	24.6108	24.5696	24.5587

6.89999999999999	24.5219	24.6309	24.5918	24.5815

6.99999999999999	24.4806	24.5990	24.5565	24.5453

7.09999999999999	24.5420	24.6465	24.6090	24.5991

7.19999999999999	24.5311	24.6380	24.5997	24.5896

7.29999999999999	24.5018	24.6154	24.5747	24.5639

7.39999999999999	24.5319	24.6386	24.6003	24.5902

7.49999999999999	24.5532	24.6551	24.6186	24.6089

7.59999999999999	24.5337	24.6400	24.6019	24.5918

7.69999999999999	24.5549	24.6564	24.6200	24.6104

7.79999999999999	24.5392	24.6443	24.6066	24.5967

7.89999999999999	24.6128	24.7011	24.6694	24.6611

7.99999999999999	24.6245	24.7101	24.6794	24.6713

8.09999999999999	24.5993	24.6906	24.6579	24.6492

8.19999999999999	24.6071	24.6967	24.6646	24.6561

8.29999999999999	24.6310	24.7151	24.6850	24.677

8.39999999999999	24.6279	24.7127	24.6823	24.6743

8.49999999999999	24.6103	24.6992	24.6673	24.6589

8.59999999999999	24.6337	24.7172	24.6873	24.6794

8.69999999999999	24.6323	24.7162	24.6861	24.6782

8.79999999999998	24.6514	24.7309	24.7024	24.6949

8.89999999999998	24.6318	24.7157	24.6856	24.6777

8.99999999999998	24.6379	24.7205	24.6909	24.6831

9.09999999999998	24.6634	24.7402	24.7126	24.7054

9.19999999999998	24.6432	24.7245	24.6954	24.6877

9.29999999999998	24.6611	24.7384	24.7106	24.7033

9.39999999999998	24.6618	24.7390	24.7113	24.704

9.49999999999998	24.6940	24.7638	24.7387	24.7321

9.59999999999998	24.6618	24.7390	24.7113	24.704

9.69999999999998	24.6667	24.7427	24.7154	24.7082

9.79999999999998	24.6591	24.7369	24.7090	24.7016

9.89999999999998	24.6832	24.7555	24.7296	24.7227

9.99999999999998	24.7273	24.7895	24.7672	24.7613

10.1	24.7247	24.7875	24.7650	24.759

10.2	24.6938	24.7636	24.7386	24.732

10.3	24.7400	24.7993	24.7781	24.7724

10.4	24.7381	24.7978	24.7764	24.7707

10.5	24.7399	24.7992	24.7780	24.7723

